County	Contest	Candidate	CountyVotes	CountyPercent	StateVotes	StatePercent 
Allen	Supreme Court Justice- 03	Lawton R. Nuss - NO	2656	52	477811	45 
Allen	Supreme Court Justice- 05	Candidate	CountyVotes	County	StateVotes	State 
Allen	Supreme Court Justice- 05	Marla Luckert -  YES	2454	49	596888	56 
Allen	Supreme Court Justice- 05	Marla Luckert - NO	2602	52	469735	44 
Allen	Supreme Court Justice- 07	Candidate	CountyVotes	County	StateVotes	State 
Allen	Supreme Court Justice- 07	Caleb Stegall -  YES	3222	64	755545	71 
Allen	Supreme Court Justice- 07	Caleb Stegall - NO	1856	37	310988	29 
Allen	Court of Appeals Judge- 02	Candidate	CountyVotes	County	StateVotes	State 
Allen	Court of Appeals Judge- 02	Steve Leben -  YES	2669	54	617131	60 
Allen	Court of Appeals Judge- 02	Steve Leben - NO	2295	46	416193	40 
Allen	Court of Appeals Judge- 03	Candidate	CountyVotes	County	StateVotes	State 
Allen	Court of Appeals Judge- 03	G. Joseph Pierron -  YES Jr.	2623	53	611319	59 
Allen	Court of Appeals Judge- 03	G. Joseph Pierron - NO Jr.	2323	47	418095	41 
Allen	Court of Appeals Judge- 06	Candidate	CountyVotes	County	StateVotes	State 
Allen	Court of Appeals Judge- 06	David E. Bruns -  YES	3210	65	741207	72 
Allen	Court of Appeals Judge- 06	David E. Bruns - NO	1753	35	289276	28 
Allen	Court of Appeals Judge- 08	Candidate	CountyVotes	County	StateVotes	State 
Allen	Court of Appeals Judge- 08	G. Gordon Atcheson -  YES	2632	53	609239	59 
Allen	Court of Appeals Judge- 08	G. Gordon Atcheson - NO	2311	47	418119	41 
Allen	Court of Appeals Judge- 09	Candidate	CountyVotes	County	StateVotes	State 
Allen	Court of Appeals Judge- 09	Karen Arnold-Burger  - YES	2676	54	619984	60 
Allen	Court of Appeals Judge- 09	Karen Arnold-Burger - NO	2261	46	407733	40 
Allen	Court of Appeals Judge- 14	Candidate	CountyVotes	County	StateVotes	State 
Allen	Court of Appeals Judge- 14	Kathryn A. Gardner -  YES	3266	66	747292	73 
Allen	Court of Appeals Judge- 14	Kathryn A. Gardner - NO	1674	34	281959	27 
Allen	Constitutional Amendment	Candidate	CountyVotes	County	StateVotes	State 
Allen	Constitutional Amendment	Constitutional Amendment -  YES	4377	86	914850	81 
Allen	Constitutional Amendment	Constitutional Amendment - NO	725	14	210123	19 
Anderson	President / Vice President	Candidate	CountyVotes	County	StateVotes	State 
Anderson	President / Vice President	i-Jill Stein	80	2	22698	2 
Anderson	President / Vice President	D-Hillary Rodham Clinton	665	20	414788	36 
Anderson	President / Vice President	L-Gary Johnson	146	5	53648	5 
Anderson	President / Vice President	R-Donald J. Trump	2386	73	656009	57 
Anderson	United States Senate	Candidate	CountyVotes	County	StateVotes	State 
Anderson	United States Senate	D-Patrick Wiesner	706	22	368672	32 
Anderson	United States Senate	L-Robert D. Garrard	155	5	63428	6 
Anderson	United States Senate	R-Jerry Moran	2381	73	716661	62 
Anderson	United States House of Representatives 002	Candidate	CountyVotes	County	StateVotes	State 
Anderson	United States House of Representatives 002	D-Britani Potter	742	23	94561	33 
Anderson	United States House of Representatives 002	L-James Houston Bales	116	4	18700	6 
Anderson	United States House of Representatives 002	R-Lynn Jenkins	2398	74	177851	61 
Anderson	Kansas Senate 012	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Kansas Senate 012	D-Christopher B. Johnston	729	25	6750	27 
Anderson	Kansas Senate 012	R-Caryn Tyson	2225	75	18576	73 
Anderson	Kansas House of Representatives 005	Candidate	CountyVotes	County	StateVotes	State 
